Month,TotalAttendances,CovidPeriod,DateFormatted,Female,Male,UnknownSex,18-24,25-39,40-64,65-74,75 plus,Under 18,UnknownAge,SIMD1,SIMD2,SIMD3,SIMD4,SIMD5,UnknownSIMD,ED,MIU,S08000015,S08000016,S08000017,S08000019,S08000020,S08000022,S08000024,S08000025,S08000026,S08000028,S08000029,S08000030,S08000031,S08000032
201909,142738,4,2019-09-01,0.4757457719738261,0.49717664532219874,0.027077582703975114,0.09486611834269781,0.17568552172511878,0.25817932155417617,0.0875520183833317,0.12164244980313582,0.23499698748756462,0.027077582703975114,0.26966189802295115,0.21325085120990905,0.17370987403494514,0.1578276282419538,0.14287715955106559,0.04267258893917527,0.8726337765696591,0.1273662234303409,0.06839804396866987,0.01925906205775617,0.03034230548277263,0.05638302344155025,0.06515433871849122,0.039919292690103546,0.17526517115274137,0.004301587523995012,0.004427692695708221,0.005345458112065463,0.05839370034608864,0.06900054645574409,0.2742086900474996,0.12960108730681388
201910,138850,4,2019-10-01,0.4781346777097587,0.49688152682751163,0.024983795462729563,0.09546993158084263,0.17688872884407633,0.2656679870363702,0.09262513503781059,0.13058696435001801,0.21377745768815268,0.024983795462729563,0.2694490457328052,0.21925819229384225,0.17619013323730645,0.15471371984155563,0.13971912135397913,0.04066978754051134,0.8756931940943464,0.12430680590565359,0.06825351098307526,0.01947425279078142,0.03052214620093626,0.05574360821029888,0.06437882607129997,0.03747929420237667,0.17899171768095068,0.00409074540871444,0.004234785740007202,0.005106229744328412,0.055066618653222904,0.06530788620813828,0.278069859560677,0.13328051854519266
201911,135214,4,2019-11-01,0.48299732276243584,0.49230109308207726,0.024701584155486858,0.09138846569142249,0.1691984557812061,0.2547813096277013,0.08827488277841052,0.12974248228733712,0.24191281967843567,0.024701584155486858,0.27174700844587096,0.21800257369798987,0.17402783735412014,0.1559453902702383,0.1413611016610706,0.03891608857071013,0.8804857485171654,0.11951425148283462,0.06836570177644327,0.019672519117842825,0.02907982901178872,0.054136405993462214,0.06588814767701569,0.035950419335275936,0.18044729096099515,0.00400106497847856,0.004356057804665197,0.004873755676187377,0.05680624787374088,0.06281893886727706,0.28370582927803334,0.12989779164879375
201912,134185,4,2019-12-01,0.48787867496366955,0.4870365540112531,0.025084771025077317,0.08587397995304989,0.16909490628609755,0.26443343145657117,0.09891567611879122,0.14265379885978313,0.21394343630062973,0.025084771025077317,0.26967246711629467,0.21851920855535265,0.17512389611357454,0.15586690017513136,0.14107389052427619,0.03974363751537057,0.8838543801468123,0.11614561985318776,0.06848753586466445,0.020359950814174462,0.03145657115176808,0.053605097440101356,0.06905391809814808,0.03876737340239222,0.17571263554048516,0.004471438685397027,0.004553415061295972,0.0051421544882065805,0.05677236650892425,0.06517121883966166,0.27509781272124306,0.13134851138353765
202001,131968,4,2020-01-01,0.48940652279340446,0.4905431619786615,0.020050315227934046,0.09124939379243453,0.17883123181377303,0.27087627303588746,0.09477297526673133,0.1382607904946654,0.2059590203685742,0.020050315227934046,0.2746878031037827,0.220045768671193,0.1723296556741028,0.15687894034917554,0.14068562075654703,0.03537221144519884,0.8709308317167799,0.12906916828322018,0.06683438409311349,0.020095780795344326,0.028817592143549956,0.05473296556741028,0.06647065955383123,0.037130213385063046,0.17809620514064015,0.004432892822502425,0.004448048011639185,0.0051224539282250245,0.05785493452958293,0.06451564015518914,0.2788100145489816,0.13263821532492726
202002,122010,4,2020-02-01,0.4872387509220556,0.48926317514957784,0.023498073928366527,0.09450045078272272,0.18172280960577003,0.2669863125973281,0.09247602655520039,0.12976805179903286,0.2110482747315794,0.023498073928366527,0.27038767314154577,0.21760511433489058,0.1737562494877469,0.15599541021227767,0.14310302434226702,0.03915252848127203,0.8730431931808869,0.1269568068191132,0.06554380788459963,0.018883698057536268,0.02998114908614048,0.05552823539054176,0.06592082616179001,0.03744775018441111,0.17853454634865995,0.004606179821326121,0.004843865256946152,0.0044586509302516186,0.059003360380296695,0.06615031554790592,0.2768625522498156,0.1322350626997787
202003,96406,4,2020-03-01,0.47918179366429475,0.5014314461755492,0.019386760160156006,0.09013961786610791,0.184677302242599,0.26892517063253324,0.09170591042051325,0.13538576437151215,0.20977947430657842,0.019386760160156006,0.27157023421778725,0.21980997033379665,0.17626496276165385,0.15782212725349046,0.1391407173827355,0.035391988050536276,0.8778602991515051,0.1221397008484949,0.07170715515631808,0.019666825716241728,0.03188598220027799,0.058274381262577016,0.07101217766529054,0.03816152521627285,0.18323548326867622,0.004304711325021264,0.004678132066468892,0.004792232848577889,0.05933240669667863,0.06458104267369251,0.2575254652200071,0.13084247868389934
202004,62876,1,2020-04-01,0.4901393218398117,0.4980278643679623,0.011832813792225968,0.06896112984286533,0.18164323430243653,0.31191551625421465,0.10969209237228832,0.1592976652458808,0.15665754819008842,0.011832813792225968,0.27253642089191427,0.22838602964565177,0.1779216235129461,0.15694382594312614,0.13679305299319294,0.027419047013168774,0.9085024492652204,0.09149755073477957,0.08449965010496852,0.023761053502131178,0.03347859278580062,0.059132260321903427,0.0716648641771105,0.03646860487308353,0.19053374896621922,0.0037534194287168394,0.005598320503848845,0.004389592213245117,0.053867930529931926,0.0574623067625167,0.2277816655003499,0.1476079903301737
202005,85594,1,2020-05-01,0.4890529710026404,0.49977802182395964,0.011169007173400004,0.07965511601280463,0.1868939411641003,0.3059560249550202,0.10510082482416992,0.1481295417903124,0.16309554408019253,0.011169007173400004,0.28197069888076265,0.22773792555552963,0.172956048321144,0.15447344440030844,0.13572213005584505,0.027139752786410263,0.9043858214360819,0.09561417856391803,0.08425824240016824,0.02234969740869687,0.033039699044325535,0.05777274107998224,0.059875692221417386,0.037152136832020934,0.1877818538682618,0.004170853097179709,0.0043344159637357755,0.004170853097179709,0.05828679580344417,0.05974717854055191,0.2340818281655256,0.1529780124775101
202006,97847,3,2020-06-01,0.48037241816305054,0.5079869592322708,0.011640622604678734,0.08347726552679183,0.19124755996606949,0.30207364558954286,0.10103528978916063,0.13795006489723752,0.17257555162651894,0.011640622604678734,0.2774433554426809,0.22818277514895705,0.17532474168855458,0.1545065254938833,0.13601847782762885,0.028524124398295297,0.9041564892127505,0.09584351078724948,0.07886802865698489,0.021973080421474344,0.03133463468476295,0.05987919915786892,0.06302697067871268,0.03986836591821926,0.17988287837133485,0.004077794924729424,0.0048034175805083444,0.004701217206454975,0.05940907743722342,0.059521497848682124,0.23831083221764593,0.15434300489539793
202007,108068,3,2020-07-01,0.47848576822000954,0.5052929636895288,0.016221268090461562,0.08763001073398231,0.1878076766480364,0.2947866158344746,0.10096420772106451,0.13622904097420144,0.17636117999777917,0.016221268090461562,0.27422548765592036,0.22501573083614024,0.17425139726838657,0.15742865603138764,0.1355627937964985,0.033515934411666726,0.8959821593811303,0.1040178406188696,0.07771958396565126,0.022495095680497464,0.031211829588777436,0.05833364178110079,0.07078876263093607,0.042834141466484066,0.1749916719102787,0.004321353222045379,0.004821038605322575,0.004293592922974423,0.05964762927045934,0.06375615353296073,0.24110745086427066,0.14367805455824112
202008,118035,3,2020-08-01,0.4753420595586055,0.49986021095437794,0.024797729487016563,0.08506798830855254,0.18058203075359003,0.281950268988012,0.09712373448553395,0.12895327657050876,0.20152497140678613,0.024797729487016563,0.2724361418223408,0.22103613335027747,0.17437200830262212,0.15298852035413224,0.13678146312534417,0.04238573304528318,0.8868132333629856,0.11318676663701446,0.07460499004532554,0.02134959969500572,0.03404922268818571,0.057203371881221675,0.06448934638031092,0.04629135425932986,0.1779048587283433,0.004405472952937688,0.004422417079679756,0.005261151353412124,0.05988054390646842,0.06289659846655653,0.24458846952175203,0.14265260304147076
202009,111922,3,2020-09-01,0.47537570808241447,0.5033326781151158,0.021291613802469578,0.08041314486874787,0.17597076535444328,0.27568306499169065,0.09426207537392112,0.1305284037097264,0.2218509318990011,0.02129161380246958,0.2708314719179429,0.21909901538571508,0.17334393595539752,0.1573327853326424,0.1399010024838727,0.03949178892442951,0.8835528314361788,0.11644716856382123,0.07029002340915995,0.02227444112864316,0.030244277264523507,0.054144850878290234,0.06548310430478368,0.041877378888869034,0.18236807776844588,0.004521005700398492,0.004172548739300584,0.004270831471917943,0.06065831561265882,0.0631600578974643,0.25448973392183843,0.14204535301370597
202010,103273,2,2020-10-01,0.48291421765611536,0.49802949464041907,0.019056287703465572,0.0794786633486003,0.17860428185488947,0.2838592855828726,0.0988254432426675,0.14184733667076582,0.19832870159673874,0.019056287703465572,0.27124224143774267,0.22144219689560682,0.1772196024130218,0.15504536519709894,0.13748027073872163,0.03757032331780814,0.8935927105826305,0.1064072894173695,0.06916619058224319,0.020983219234456247,0.03040484928296844,0.05425425813136057,0.06629031789528725,0.04060112517308493,0.1865153525122733,0.004396115151104355,0.004289601347883764,0.0044832628082848375,0.05936692068594889,0.05979297589883125,0.2542387652145285,0.1452170460817445
202011,95995,2,2020-11-01,0.4854419501015678,0.4989530704724205,0.01560497942601177,0.08277514453877806,0.1767383717901974,0.28208760872962135,0.09486952445439865,0.1381738632220428,0.20975050783894994,0.01560497942601177,0.27076410229699466,0.22143861659461428,0.17720714620553155,0.15720610448460856,0.13848637949893225,0.034897650919318714,0.8919422886608678,0.10805771133913225,0.05910724516901922,0.022115735194541384,0.032116256055002866,0.054211156831084954,0.07034741392780874,0.04225220063544976,0.18434293452783998,0.004552320433355904,0.004614823688733788,0.0045731548518151985,0.05862805354445543,0.06145111724568988,0.25979478097817593,0.14189280691702694
202012,90005,2,2020-12-01,0.4893505916337981,0.4973945891894894,0.013254819176712404,0.07604021998777846,0.1739792233764791,0.28937281262152104,0.1052385978556747,0.15588022887617353,0.1862340981056608,0.013254819176712404,0.2732737070162769,0.22419865563024277,0.1737236820176657,0.1582578745625243,0.1382923170934948,0.032253763679795565,0.9029053941447698,0.09709460585523026,0.06287428476195767,0.022187656241319926,0.028976167990667184,0.049763902005444144,0.06738514526970724,0.04181989889450586,0.18722293205933005,0.004266429642797622,0.0046108549525026386,0.003822009888339537,0.055174712515971336,0.060018887839564466,0.26598522304316424,0.14589189489472806
202101,82761,1,2021-01-01,0.5018184893850969,0.4890588562245502,0.009122654390352944,0.07665446285085971,0.1850025978419787,0.31305808291344955,0.10896436727444087,0.1571392322470729,0.15005860248184533,0.009122654390352944,0.27846449414579333,0.22219402858834475,0.17492538756177425,0.1563900871183287,0.13809644639383284,0.029929556191926145,0.9037590169282633,0.09624098307173669,0.06146614951486811,0.022909341356436002,0.025724677082200553,0.05148560312224357,0.06006452314495958,0.03848431024274719,0.19133408247846206,0.0039028044610384116,0.004361957927042931,0.0038182235594060006,0.05430093884800812,0.05716460651756262,0.26968016336197,0.15530261838305484
202102,77778,1,2021-02-01,0.4998071434081617,0.49227287922034507,0.007919977371493225,0.08168119519658515,0.18741803594846873,0.30368484661472395,0.1037182750906426,0.1525367070379799,0.16304096274010646,0.007919977371493225,0.2782792049165574,0.22706935123042504,0.1741623595361156,0.15725526498495718,0.13340533312761962,0.029828486204325134,0.9028131348196148,0.0971868651803852,0.06251124996785723,0.023078505489984313,0.02374707500835712,0.05137699606572552,0.063526961351539,0.039407030265627814,0.19004088559746973,0.00404998842860449,0.00506569981228625,0.003188562318393376,0.05397413150248142,0.057278407775977785,0.2702306564838386,0.15252384993185733
202103,100939,1,2021-03-01,0.49003853812698756,0.5016495110908569,0.00831195078215556,0.08136597350875281,0.18111928986813816,0.28390414012423343,0.10049633937328485,0.14167962829035358,0.20312267805308157,0.00831195078215556,0.2799413507167695,0.22399667125689773,0.17532371035972222,0.15514320530221223,0.13540851405304194,0.03018654831135637,0.9012373809924806,0.09876261900751941,0.06081891043105242,0.020943342018446786,0.025906735751295335,0.052823982801493974,0.06210681698847819,0.03859756882869852,0.1867761717472929,0.004071766116169172,0.004240184665986388,0.003071161790784533,0.05649946997691675,0.056816493129513874,0.2737296783205698,0.1535977174333013
202104,112056,1,2021-04-01,0.4899246805168844,0.5021328621403583,0.007942457342757192,0.07837152852145356,0.17439494538445063,0.28483972299564503,0.09816520311272935,0.13675305204540586,0.21953309059755835,0.007942457342757192,0.27723638180909543,0.223191975440851,0.17472513743128434,0.154047976011994,0.1393856643107018,0.03141286499607339,0.8974619832940673,0.10253801670593275,0.06494966802313129,0.021043049903619618,0.026924037981009494,0.05402655814949668,0.06057685442992789,0.03785607196401799,0.1836135503676733,0.0037213536089098307,0.004363889483829515,0.0037392018276575997,0.055748911258656386,0.058417219961447844,0.27529092596558863,0.1497287070750339
202105,125063,3,2021-05-01,0.4801580003678146,0.506864540271703,0.012977459360482316,0.08116709178573998,0.17373643683583473,0.27043170242197934,0.09687117692682888,0.12887104899130838,0.23594508367782638,0.012977459360482316,0.275157320710362,0.22047288166763948,0.17100981105522817,0.1564731375386805,0.13916186242133965,0.0377249866067502,0.9006100925133732,0.09938990748662674,0.06723811199155626,0.02121330849251977,0.027378201386501204,0.051366111479814174,0.06240055012273814,0.040603535817947754,0.1832516411728489,0.003981993075489953,0.004181892326267562,0.0039020333751789097,0.056835354981089534,0.05959396464182052,0.2689684399062872,0.1490848612299401
202106,132265,3,2021-06-01,0.4799455638301894,0.5036404188560843,0.016414017313726232,0.08330246096851018,0.17641855366121045,0.2670623369750123,0.09201980871734775,0.12340377272899104,0.24137904963520207,0.016414017313726232,0.27294446754621404,0.21837220731108006,0.17286508146524024,0.15475749442407288,0.13931879181945336,0.04174195743393944,0.8946508902581938,0.10534910974180622,0.06487732960344762,0.01999773182625789,0.028692397837674365,0.05368767247571164,0.06189846142214494,0.04325407326201187,0.18053906929270783,0.003931501152988319,0.004165879106339546,0.003780289570181076,0.056976524401769174,0.059698332892299553,0.27308055797074055,0.14542017918572564
202107,128408,3,2021-07-01,0.47599059248644937,0.5038315369758893,0.020177870537661204,0.09024359852968662,0.19004267646875583,0.276213320042365,0.09596754096317986,0.1310899632421656,0.1962650302161859,0.020177870537661204,0.2749361410504018,0.21762662762444707,0.173696342906984,0.15428166469378854,0.131783066475609,0.04767615724876955,0.8922107656843811,0.10778923431561896,0.06608622515731107,0.020769733972961186,0.03112734409071086,0.055027724129337735,0.06036228272381783,0.04889103482649056,0.17456077502959316,0.004322160613045916,0.004875085664444583,0.004470126471870912,0.05589215625194692,0.05885926110522709,0.27289576973397295,0.14186032022926917
202108,131896,4,2021-08-01,0.47189452295748163,0.5056635531024444,0.022441923940073997,0.08926730151028082,0.18230272335779704,0.2662628131254928,0.0938542488020865,0.12688785103414812,0.2189831382301207,0.022441923940073997,0.26620215927700613,0.215275671741372,0.1708164008006308,0.1550236550009098,0.1369184812276339,0.055763631952447386,0.8927033420270516,0.10729665797294838,0.06586249772548068,0.02022805847030994,0.03034966943652575,0.057029781039606965,0.061677382179899314,0.046460847940801846,0.18304573300175897,0.004260932856189725,0.004564202098623157,0.0045262934433189786,0.054527809789531145,0.05976678595256869,0.2677033420270516,0.13999666403833322
