HB,Year,NumberOfAttendancesAll,PercentageWithin4HoursAll,AllAges,attendanceperpop,attendanceper1000pop,HBName
S08000019,2020,68540,95.6375,305930,0.018669848222360234,18.669848222360237,NHS Forth Valley
S08000019,2019,89818,92.9125,306640,0.024409187755456994,24.409187755456998,NHS Forth Valley
S08000019,2013,73841,95.28333333333333,299670,0.020533976262777944,20.533976262777944,NHS Forth Valley
S08000019,2022,81740,75.58333333333334,302730,0.022500798291106485,22.500798291106488,NHS Forth Valley
S08000019,2010,74518,96.64166666666667,296010,0.020978457934979673,20.978457934979673,NHS Forth Valley
S08000019,2009,73415,97.65416666666667,294190,0.020795800899645354,20.795800899645354,NHS Forth Valley
S08000019,2018,83830,89.92083333333333,306070,0.02282429945219503,22.82429945219503,NHS Forth Valley
S08000019,2012,74939,95.525,299090,0.020879724051846155,20.879724051846157,NHS Forth Valley
S08000019,2016,79795,96.39583333333334,304480,0.021839146523033807,21.839146523033808,NHS Forth Valley
S08000019,2015,77168,96.45,302650,0.02124786607192026,21.24786607192026,NHS Forth Valley
S08000019,2011,73029,96.06458333333333,298080,0.020416498926462696,20.416498926462694,NHS Forth Valley
S08000019,2008,70732,98.15833333333333,293020,0.020115805519532227,20.115805519532227,NHS Forth Valley
S08000019,2017,81937,94.77916666666667,305580,0.022344666972096777,22.34466697209678,NHS Forth Valley
S08000019,2014,77081,95.8375,300400,0.021382878384376386,21.382878384376387,NHS Forth Valley
S08000020,2022,117957,87.32415674603175,582220,0.016883222836728384,16.883222836728386,NHS Grampian
S08000020,2021,96190,92.64761904761905,586530,0.013666535954398467,13.666535954398467,NHS Grampian
S08000020,2018,138757,98.90049019607844,584550,0.019781170701109116,19.781170701109115,NHS Grampian
S08000020,2020,100524,97.13496031746031,585550,0.014306207838784049,14.306207838784049,NHS Grampian
S08000020,2019,142558,98.53545138888889,585700,0.020283136987080987,20.283136987080987,NHS Grampian
S08000020,2017,136539,99.06176470588235,586380,0.01940422592857874,19.404225928578736,NHS Grampian
S08000020,2010,139443,99.47647058823529,564850,0.020572275825440384,20.572275825440382,NHS Grampian
S08000020,2011,144501,99.4892156862745,569580,0.021141455107272025,21.141455107272026,NHS Grampian
S08000020,2007,69965,99.49411764705883,548300,0.021267250288771355,21.267250288771354,NHS Grampian
S08000020,2008,140249,99.30441176470588,553690,0.02110823144117948,21.10823144117948,NHS Grampian
S08000020,2016,138458,99.07401960784314,588100,0.019619395794366036,19.61939579436604,NHS Grampian
S08000020,2009,143254,99.32892156862745,559200,0.021348056747734857,21.34805674773486,NHS Grampian
S08000020,2013,147359,99.08186274509804,579200,0.021201513581952117,21.201513581952117,NHS Grampian
S08000020,2014,141575,98.88529411764706,584220,0.02019430465692148,20.194304656921478,NHS Grampian
S08000020,2015,138450,98.9406862745098,587820,0.01962760709060597,19.627607090605967,NHS Grampian
S08000020,2012,146471,99.2235294117647,573400,0.021286914312289268,21.28691431228927,NHS Grampian
S08000022,2021,85416,96.85970996732026,324280,0.02195016652275811,21.95016652275811,NHS Highland
S08000022,2020,76609,98.13526348039215,320860,0.01989678779945563,19.89678779945563,NHS Highland
S08000022,2018,106770,98.67953216374269,321800,0.027649160969546303,27.6491609695463,NHS Highland
S08000022,2022,94208,95.17645629084967,323630,0.024258154888813357,24.25815488881336,NHS Highland
S08000022,2010,92557,99.14078947368421,319350,0.02415244507071656,24.15244507071656,NHS Highland
S08000022,2019,110623,98.19074074074074,321700,0.028655838773184127,28.655838773184126,NHS Highland
S08000022,2017,103928,98.86491228070176,321990,0.02689731565162479,26.89731565162479,NHS Highland
S08000022,2016,103429,98.9061403508772,321900,0.026775654965310137,26.77565496531014,NHS Highland
S08000022,2015,98526,98.77280701754385,321000,0.025577881619937695,25.577881619937695,NHS Highland
S08000022,2009,94885,98.91622807017544,318200,0.024849413366855228,24.849413366855227,NHS Highland
S08000022,2007,45137,99.05254385964912,314790,0.023897942543706384,23.897942543706385,NHS Highland
S08000022,2012,96017,98.80657894736842,319800,0.02502006462372316,25.02006462372316,NHS Highland
S08000022,2008,91370,98.9688596491228,316880,0.02402854918791551,24.02854918791551,NHS Highland
S08000022,2013,96811,98.32149122807017,320980,0.025134224354580764,25.134224354580763,NHS Highland
S08000022,2014,99937,98.40964912280702,320730,0.025966025421174613,25.966025421174614,NHS Highland
S08000022,2011,95204,99.08026315789473,321660,0.024664759891396715,24.664759891396713,NHS Highland
S08000024,2021,255412,81.70958333333333,916310,0.023228310651780874,23.228310651780873,NHS Lothian
S08000024,2018,276338,89.19166666666666,897770,0.025650407862444352,25.650407862444354,NHS Lothian
S08000024,2019,290817,90.58166666666666,907580,0.026702604729059696,26.702604729059697,NHS Lothian
S08000024,2017,273123,94.54,889450,0.025589128112878744,25.589128112878747,NHS Lothian
S08000024,2020,223817,92.465,912490,0.020440132677253083,20.440132677253082,NHS Lothian
S08000024,2015,257039,94.29333333333334,867800,0.024683010678343706,24.683010678343706,NHS Lothian
S08000024,2007,111160,96.4,801450,0.023116434795266913,23.116434795266912,NHS Lothian
S08000024,2022,273000,67.17083333333333,906190,0.025105110407309724,25.105110407309724,NHS Lothian
S08000024,2016,270866,94.44833333333334,880000,0.025650189393939395,25.650189393939396,NHS Lothian
S08000024,2014,256489,94.45333333333333,858120,0.024908035395205023,24.908035395205022,NHS Lothian
S08000024,2013,246248,94.95833333333333,849720,0.02414991605077751,24.14991605077751,NHS Lothian
S08000024,2008,226138,98.61472222222223,808940,0.023295712084126553,23.295712084126553,NHS Lothian
S08000024,2010,233800,97.32638888888889,825520,0.023601285654294667,23.601285654294667,NHS Lothian
S08000024,2011,243984,97.91944444444445,836610,0.02430284122829036,24.30284122829036,NHS Lothian
S08000024,2012,251126,94.93555555555555,843740,0.024802861861078846,24.80286186107885,NHS Lothian
S08000024,2009,233573,98.12666666666667,816510,0.023838552701946906,23.838552701946906,NHS Lothian
S08000025,2020,5322,96.85833333333333,22400,0.019799107142857143,19.799107142857142,NHS Orkney
S08000025,2017,6024,96.21666666666667,22000,0.022818181818181817,22.818181818181817,NHS Orkney
S08000025,2018,6552,96.05,22190,0.024605678233438486,24.605678233438486,NHS Orkney
S08000025,2019,6972,96.20833333333333,22270,0.02608890884598114,26.08890884598114,NHS Orkney
S08000025,2021,5504,96.225,22540,0.020349009168884945,20.349009168884944,NHS Orkney
S08000025,2016,5768,98.3,21850,0.02199847444698703,21.998474446987032,NHS Orkney
S08000025,2015,5333,98.2,21670,0.02050838332564221,20.50838332564221,NHS Orkney
S08000025,2013,3979,98.39166666666667,21560,0.015379560915275202,15.379560915275201,NHS Orkney
S08000025,2007,1203,100,20580,0.009742468415937804,9.742468415937804,NHS Orkney
S08000025,2022,6860,91.54166666666667,22020,0.025961247350893127,25.961247350893128,NHS Orkney
S08000025,2014,5193,98.675,21580,0.020053290083410565,20.053290083410566,NHS Orkney
S08000025,2009,3426,99.74166666666666,20940,0.013634192932187202,13.634192932187203,NHS Orkney
S08000025,2012,3208,98.61666666666666,21530,0.01241678278371265,12.41678278371265,NHS Orkney
S08000025,2010,3093,99.3,21220,0.012146559849198869,12.14655984919887,NHS Orkney
S08000025,2011,2530,99.38333333333333,21420,0.009842826019296607,9.842826019296607,NHS Orkney
S08000025,2008,2522,99.875,20740,0.01013339762134362,10.133397621343619,NHS Orkney
S08000026,2018,7699,96.39166666666667,22990,0.027907061041032334,27.907061041032332,NHS Shetland
S08000026,2015,7602,96.96666666666667,23200,0.02730603448275862,27.30603448275862,NHS Shetland
S08000026,2016,7473,95.56666666666666,23200,0.026842672413793102,26.842672413793103,NHS Shetland
S08000026,2021,6218,97.88333333333334,22940,0.022587910491136298,22.5879104911363,NHS Shetland
S08000026,2017,7566,96.86666666666666,23080,0.027318024263431544,27.318024263431543,NHS Shetland
S08000026,2022,7519,94.16666666666667,23020,0.02721908485375036,27.21908485375036,NHS Shetland
S08000026,2020,5633,96.63333333333334,22870,0.020525433610260893,20.525433610260894,NHS Shetland
S08000026,2014,7945,96.78333333333333,23220,0.02851349411426931,28.513494114269307,NHS Shetland
S08000026,2013,7814,99.01666666666667,23200,0.028067528735632185,28.067528735632184,NHS Shetland
S08000026,2012,7832,99.35833333333333,23210,0.02812006319115324,28.12006319115324,NHS Shetland
S08000026,2010,8306,99.675,23060,0.030015900549291704,30.015900549291704,NHS Shetland
S08000026,2019,7822,95.775,22920,0.028439499709133217,28.439499709133216,NHS Shetland
S08000026,2007,4262,98.51666666666667,22350,0.03178225205070843,31.782252050708426,NHS Shetland
S08000026,2011,8318,99.525,23240,0.029826448651749857,29.826448651749857,NHS Shetland
S08000026,2009,8875,99.54166666666666,22800,0.03243786549707602,32.437865497076025,NHS Shetland
S08000026,2008,8802,99.08333333333333,22480,0.03262900355871886,32.629003558718864,NHS Shetland
S08000028,2017,8907,99.61666666666667,26950,0.027541743970315398,27.541743970315398,NHS Western Isles
S08000028,2014,7864,98.83055555555556,27250,0.024048929663608564,24.048929663608565,NHS Western Isles
S08000028,2015,8219,99.38055555555556,27070,0.025301686984361534,25.30168698436153,NHS Western Isles
S08000028,2016,8678,99.66944444444444,26900,0.026883519206939283,26.883519206939283,NHS Western Isles
S08000028,2020,6029,99.01944444444445,26500,0.018959119496855345,18.959119496855347,NHS Western Isles
S08000028,2013,7981,99.34722222222223,27400,0.024273114355231145,24.273114355231144,NHS Western Isles
S08000028,2021,5608,98.4,26640,0.017542542542542543,17.54254254254254,NHS Western Isles
S08000028,2022,7306,98.95555555555555,26120,0.02330908626850434,23.30908626850434,NHS Western Isles
S08000028,2018,9333,99.41111111111111,26830,0.02898807305255311,28.988073052553112,NHS Western Isles
S08000028,2019,9537,99.33888888888889,26720,0.0297436377245509,29.7436377245509,NHS Western Isles
S08000028,2012,8526,98.97777777777777,27560,0.02578011611030479,25.78011611030479,NHS Western Isles
